"PSPath","PSDrive","PSProvider","PSIsContainer","Name","Key","Value"
"Microsoft.PowerShell.Core\Environment::PSModulePath","Env","Microsoft.PowerShell.Core\Environment","False","PSModulePath","PSModulePath","C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules;C:\Users\ketov\Documents\PowerShell\Modules;C:\Program Files\PowerShell\Modules;c:\program files\powershell\7-preview\Modules;"
"Microsoft.PowerShell.Core\Environment::PUBLIC","Env","Microsoft.PowerShell.Core\Environment","False","PUBLIC","PUBLIC","C:\Users\Public"
"Microsoft.PowerShell.Core\Environment::PYENV_VIRTUALENV_DISABLE_PROMPT","Env","Microsoft.PowerShell.Core\Environment","False","PYENV_VIRTUALENV_DISABLE_PROMPT","PYENV_VIRTUALENV_DISABLE_PROMPT","1"
"Microsoft.PowerShell.Core\Environment::SESSIONNAME","Env","Microsoft.PowerShell.Core\Environment","False","SESSIONNAME","SESSIONNAME","Console"
"Microsoft.PowerShell.Core\Environment::SystemDrive","Env","Microsoft.PowerShell.Core\Environment","False","SystemDrive","SystemDrive","C:"
"Microsoft.PowerShell.Core\Environment::SystemRoot","Env","Microsoft.PowerShell.Core\Environment","False","SystemRoot","SystemRoot","C:\WINDOWS"
"Microsoft.PowerShell.Core\Environment::TEMP","Env","Microsoft.PowerShell.Core\Environment","False","TEMP","TEMP","C:\Users\ketov\AppData\Local\Temp"
"Microsoft.PowerShell.Core\Environment::TERM","Env","Microsoft.PowerShell.Core\Environment","False","TERM","TERM","xterm"
"Microsoft.PowerShell.Core\Environment::TERM_SESSION_ID","Env","Microsoft.PowerShell.Core\Environment","False","TERM_SESSION_ID","TERM_SESSION_ID","e00c5bfb-4663-453b-8b82-069c7db0767c"
"Microsoft.PowerShell.Core\Environment::TERMINAL_EMULATOR","Env","Microsoft.PowerShell.Core\Environment","False","TERMINAL_EMULATOR","TERMINAL_EMULATOR","JetBrains-JediTerm"
"Microsoft.PowerShell.Core\Environment::TMP","Env","Microsoft.PowerShell.Core\Environment","False","TMP","TMP","C:\Users\ketov\AppData\Local\Temp"
"Microsoft.PowerShell.Core\Environment::USERDOMAIN","Env","Microsoft.PowerShell.Core\Environment","False","USERDOMAIN","USERDOMAIN","9700GTX"
"Microsoft.PowerShell.Core\Environment::USERDOMAIN_ROAMINGPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","USERDOMAIN_ROAMINGPROFILE","USERDOMAIN_ROAMINGPROFILE","9700GTX"
"Microsoft.PowerShell.Core\Environment::USERNAME","Env","Microsoft.PowerShell.Core\Environment","False","USERNAME","USERNAME","ketov"
"Microsoft.PowerShell.Core\Environment::USERPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","USERPROFILE","USERPROFILE","C:\Users\ketov"
"Microsoft.PowerShell.Core\Environment::VIRTUAL_ENV_DISABLE_PROMPT","Env","Microsoft.PowerShell.Core\Environment","False","VIRTUAL_ENV_DISABLE_PROMPT","VIRTUAL_ENV_DISABLE_PROMPT","1"
"Microsoft.PowerShell.Core\Environment::windir","Env","Microsoft.PowerShell.Core\Environment","False","windir","windir","C:\WINDOWS"
